area_id,population,location_urban,location_rural,hh_size1,hh_size2,hh_size3,hh_size4,m_0_to_30,f_0_to_30,m_30_to_60,f_30_to_60,m_gt_60,f_gt_60,edu_non,edu_low,edu_middle,edu_high
d0,318,0,318,128,183,3,18,7,11,108,105,153,137,45,204,247,25
d1,268,0,268,64,200,1,13,14,14,169,154,57,72,41,170,251,18
d2,318,318,0,146,166,1,23,29,31,168,176,51,49,54,199,232,19
d3,298,0,298,116,175,3,18,9,8,110,105,127,134,49,180,237,27
d4,266,0,266,50,208,4,19,9,4,164,181,61,78,69,251,164,13
d5,268,0,268,69,194,1,18,14,11,165,151,72,65,35,170,258,15
d6,310,310,0,135,167,3,20,26,35,144,175,60,58,75,199,203,21
d7,213,213,0,42,108,25,170,128,110,114,93,36,22,6,54,369,74
d8,275,275,0,113,129,13,91,57,76,185,138,21,24,31,129,287,54
d9,313,0,313,134,173,2,16,6,8,107,124,120,137,32,186,259,25
d10,268,268,0,80,167,12,43,72,59,162,163,16,21,30,129,277,57
d11,286,286,0,112,137,17,92,96,84,151,164,17,17,32,81,327,89
d12,246,246,0,83,126,20,79,86,81,127,144,18,18,19,70,313,72
d13,273,273,0,103,152,7,50,58,50,165,160,26,19,35,109,278,56
d14,287,287,0,100,166,5,73,69,65,174,161,23,28,32,125,324,39
d15,246,246,0,82,134,11,80,53,73,136,161,13,27,38,93,276,56
d16,269,269,0,103,135,15,75,89,92,139,135,24,14,29,70,321,73
d17,295,295,0,110,179,5,4,33,31,164,161,53,45,60,190,222,15
d18,249,249,0,90,116,20,102,97,71,140,133,25,18,31,85,280,88
d19,287,0,287,101,175,2,40,9,8,121,152,116,91,59,276,159,3
d20,282,282,0,100,161,10,46,64,61,165,162,24,22,27,104,308,59
d21,290,0,290,79,201,6,18,18,9,145,173,104,68,54,286,164,13
d22,274,0,274,80,191,1,9,13,15,171,159,61,55,32,202,216,24
d23,263,0,263,66,190,1,30,13,11,138,142,86,89,60,252,158,9
d24,293,293,0,131,133,6,101,86,80,159,142,28,21,25,92,323,76
d25,311,0,311,95,214,1,6,17,16,181,173,80,65,34,216,255,27
d26,282,0,282,74,200,3,22,13,13,173,173,68,65,38,206,233,28
d27,303,303,0,126,159,9,44,69,65,153,166,32,30,44,143,283,45
d28,274,274,0,86,168,12,37,63,63,160,164,24,21,33,121,286,55
d29,275,275,0,96,157,8,62,54,71,169,160,23,19,25,107,319,45
d30,285,0,285,91,192,0,9,15,9,172,168,60,60,35,190,236,23
d31,291,0,291,82,199,5,22,14,15,172,178,76,62,37,202,249,29
d32,311,0,311,86,223,1,4,19,10,201,168,60,81,33,228,262,16
d33,290,290,0,87,183,7,56,66,77,170,175,21,21,35,112,337,46
d34,284,0,284,69,210,3,9,15,25,168,169,75,55,25,214,248,20
d35,201,201,0,36,91,28,202,118,123,91,94,41,37,10,60,365,69
d36,266,0,266,66,187,6,28,10,9,151,156,76,84,74,259,144,9
d37,276,276,0,101,147,12,71,63,69,158,162,25,25,38,133,290,41
d38,271,0,271,74,189,4,18,16,10,165,155,70,66,58,236,176,12
d39,294,0,294,80,202,5,29,12,16,169,186,72,73,51,290,172,15
d40,311,311,0,136,168,3,19,29,36,184,151,51,49,60,210,210,20
d41,200,200,0,46,83,23,220,111,134,115,97,23,21,12,42,356,91
d42,268,0,268,64,192,0,51,12,12,152,156,75,92,48,266,172,13
d43,264,264,0,91,155,7,49,56,74,170,128,20,23,35,112,278,46
d44,276,276,0,105,131,17,104,96,99,136,143,24,24,34,81,336,71
d45,255,0,255,53,193,6,14,18,8,158,143,73,71,46,264,150,11
d46,327,327,0,147,176,1,14,22,31,183,161,61,58,68,204,230,14
d47,261,261,0,96,145,8,55,57,61,168,137,20,22,33,121,265,46
d48,247,0,247,53,183,6,21,22,16,155,139,77,49,51,235,163,9
d49,283,0,283,115,158,3,32,8,6,132,136,100,90,60,265,145,2
d50,283,0,283,84,197,1,5,13,12,168,156,74,63,36,190,231,29
d51,306,0,306,143,159,1,12,7,5,108,104,126,126,35,168,249,24
d52,315,315,0,152,154,4,23,33,35,171,167,48,41,69,205,214,7
d53,203,203,0,32,102,30,175,112,124,111,96,28,30,6,47,367,81
d54,270,270,0,94,153,12,47,62,71,160,147,27,16,28,118,277,60
d55,272,272,0,95,140,14,104,91,88,162,143,17,20,29,75,340,77
d56,268,268,0,95,138,12,103,86,83,149,156,16,20,33,85,330,62
d57,247,247,0,92,118,12,108,82,82,141,130,18,19,28,69,314,61
d58,268,0,268,59,199,4,29,10,17,166,166,71,68,52,260,169,17
d59,282,0,282,82,198,1,4,10,14,150,166,76,69,46,195,221,23
d60,270,270,0,83,159,13,67,74,62,173,156,15,27,33,107,312,55
d61,258,258,0,83,150,11,59,62,66,154,150,28,15,21,119,288,47
d62,268,268,0,110,130,8,94,78,86,123,146,34,21,27,81,308,72
d63,251,0,251,59,188,2,9,13,12,129,167,62,67,40,251,149,10
d64,274,274,0,92,161,12,43,74,59,172,142,20,26,40,118,284,51
d65,254,0,254,54,193,2,24,9,13,151,156,68,73,60,265,137,8
d66,264,0,264,69,193,0,9,9,12,162,154,57,70,34,177,233,20
d67,284,284,0,119,163,1,5,29,26,147,162,44,45,57,178,201,17
d68,279,279,0,120,120,16,100,88,104,131,147,12,26,32,76,325,75
d69,318,0,318,143,170,3,8,8,9,114,124,128,117,42,191,238,29
d70,286,0,286,67,214,3,8,12,15,165,173,77,70,50,282,163,17
d71,286,286,0,86,172,13,66,76,76,151,177,32,23,29,134,313,59
d72,286,0,286,78,202,2,20,11,11,180,170,69,67,57,274,166,11
d73,261,261,0,95,148,8,46,53,64,140,159,18,27,31,102,270,58
d74,231,231,0,89,110,11,94,74,70,137,124,12,19,26,76,275,59
d75,262,262,0,91,149,8,69,62,56,134,186,17,27,26,113,289,54
d76,265,265,0,113,124,15,58,90,75,130,127,15,27,26,71,304,63
d77,303,0,303,134,166,1,9,8,11,107,96,123,133,31,192,218,37
d78,333,333,0,167,162,2,9,32,41,143,162,57,71,79,197,214,16
d79,293,0,293,70,216,6,4,12,20,163,171,70,88,43,188,276,17
d80,313,0,313,129,180,1,15,9,7,115,111,139,126,49,195,240,23
d81,282,0,282,68,206,4,18,8,8,163,145,81,105,68,286,147,9
d82,276,0,276,56,215,3,11,13,16,170,167,71,69,67,273,155,11
d83,270,0,270,66,196,5,14,7,9,160,163,67,81,60,249,163,15
d84,265,0,265,67,191,1,26,7,8,172,146,59,86,44,276,151,7
d85,253,253,0,89,130,14,90,93,82,122,139,24,21,29,84,300,68
d86,276,0,276,64,203,1,37,10,11,163,158,75,93,64,276,156,14
d87,305,305,0,131,170,1,15,26,25,194,141,49,54,59,209,200,21
d88,278,0,278,68,201,4,22,17,7,169,168,72,71,60,267,166,11
d89,294,0,294,81,211,0,10,17,15,173,182,65,61,40,209,244,20
d90,272,0,272,67,194,4,32,16,12,168,161,72,70,54,253,182,10
d91,269,269,0,102,138,15,61,68,84,154,144,19,15,29,73,311,71
d92,287,287,0,111,149,10,75,75,74,178,137,27,23,33,116,316,49
d93,267,0,267,67,194,1,24,5,3,146,167,86,75,80,239,149,14
d94,277,277,0,90,166,10,50,74,70,139,167,27,25,37,114,298,53
d95,276,0,276,57,211,2,26,14,12,171,150,81,83,61,268,173,9
d96,297,297,0,118,156,9,62,63,68,160,173,31,24,46,143,282,48
d97,288,0,288,80,198,5,23,8,9,170,167,81,79,54,272,176,12
d98,309,309,0,121,167,12,41,77,76,155,165,25,34,39,120,326,47
d99,287,287,0,126,154,0,29,26,37,142,148,61,49,56,197,199,11
d100,259,0,259,68,180,4,31,17,11,163,143,76,61,55,253,154,9
d101,298,298,0,142,153,2,4,24,28,152,158,48,48,58,185,199,16
d102,290,0,290,73,205,4,37,12,15,178,163,78,86,61,294,164,13
d103,261,261,0,109,124,6,96,85,89,135,117,27,18,29,75,288,79
d104,275,0,275,59,202,4,41,14,14,171,155,82,80,65,290,152,9
d105,337,337,0,154,176,3,16,43,23,159,189,61,56,75,212,228,16
d106,271,0,271,73,188,3,32,7,10,157,156,68,92,57,269,157,7
d107,301,0,301,108,176,5,50,12,12,129,139,105,128,80,272,172,1
d108,315,315,0,133,173,2,32,23,32,170,177,62,53,73,218,205,21
d109,261,261,0,92,131,14,110,82,99,146,144,16,19,31,98,305,72
d110,300,0,300,86,209,1,18,17,15,180,175,72,66,42,201,258,24
d111,323,323,0,144,174,4,4,23,19,190,155,64,57,59,218,203,28
d112,267,267,0,100,139,12,71,83,87,157,124,19,15,39,58,316,72
d113,277,277,0,120,131,10,70,76,77,137,155,19,18,33,75,302,72
d114,255,255,0,111,111,11,103,86,82,137,125,21,18,31,73,291,74
d115,280,0,280,66,203,5,27,9,11,174,147,83,90,49,280,174,11
d116,252,0,252,61,179,3,40,7,9,142,155,79,76,53,270,138,7
d117,342,342,0,150,185,5,9,36,25,169,201,48,65,79,218,228,19
d118,258,0,258,64,177,6,52,7,15,155,155,79,77,45,273,151,19
d119,291,291,0,124,138,11,83,85,88,159,153,20,11,27,91,316,82
d120,293,293,0,123,167,1,10,23,28,156,164,52,47,60,180,216,14
d121,279,0,279,71,198,2,33,8,9,141,180,87,81,47,291,156,12
